,RMSE,QLIKE,MAE,n_inputs,mlp_units,epochs,learning_rate,num_lr_decays,scaler_type,dropout,n_pool_kernel_size,pooling_mode,interpolation_mode,n_blocks,random_seed,trial,id_H
0,0.6487191855565144,0.0021866854174286,0.5342851975370635,10,"[512, 512]",450,1e-05,1,minmax,0.2,2,AvgPool1d,nearest,1,21170174,0,1
1,0.6519466076183854,0.0022031862567088,0.5481891378284336,21,"[250, 250]",100,5e-05,2,minmax,0.2,2,MaxPool1d,linear,2,53068056,1,1
2,0.5823631635778498,0.001729989807389,0.4647127870263806,15,"[250, 250]",750,5e-05,2,minmax,0.2,2,MaxPool1d,linear,1,114940090,2,1
3,0.6480142056011134,0.0022263629533702,0.5341586026818728,84,"[712, 712]",650,5e-05,2,minmax,0.4,2,AvgPool1d,nearest,2,81839022,3,1
4,0.7040023839535464,0.0026323947256594,0.578846982800687,10,"[712, 712]",750,0.0001,3,minmax,0.0,2,AvgPool1d,nearest,2,51504931,4,1
5,0.6589119649266467,0.0022374434164084,0.5200794504751625,84,"[512, 512]",150,0.0001,3,robust,0.4,0,MaxPool1d,linear,5,99490367,5,1
6,0.7035272925057766,0.0027900471397145,0.5530483058110343,21,"[512, 512]",650,5e-05,2,robust,0.3,0,AvgPool1d,nearest,3,93913967,6,1
7,0.6031940347351913,0.0018551014992485,0.5117861233961132,15,"[250, 250]",250,5e-05,2,minmax,0.3,2,MaxPool1d,linear,2,87218721,7,1
8,0.6537285961036527,0.0021931080444287,0.5322517911363325,3,"[250, 250]",150,5e-05,2,standard,0.4,1,MaxPool1d,linear,2,9593512,8,1
9,0.6681211282867267,0.0022694610760472,0.5605613666241562,10,"[100, 100]",350,1e-05,1,minmax,0.4,2,MaxPool1d,linear,2,43898611,9,1
10,0.8195810822379013,0.0034734743176728,0.595124834437076,5,"[512, 512]",650,0.0005,5,robust,0.0,0,MaxPool1d,linear,5,40406395,10,1
11,0.6587222257827552,0.0022140434171669,0.515289027016403,21,"[512, 512]",650,0.0005,5,minmax,0.4,2,MaxPool1d,linear,3,12232082,11,1
12,0.6242184226434538,0.0020038725756595,0.5069438750292148,5,"[100, 100]",150,5e-05,2,standard,0.4,1,MaxPool1d,linear,5,20020207,12,1
13,0.6075793616835233,0.0019321651596912,0.4990041625063318,5,"[250, 250]",550,1e-05,1,robust,0.3,0,MaxPool1d,linear,1,75802125,13,1
14,0.640701230842441,0.002119144033868,0.5251231616254144,84,"[250, 250]",350,0.0001,3,standard,0.4,1,AvgPool1d,nearest,2,88102164,14,1
15,0.6483330905105188,0.0021529866136969,0.5359825647927223,15,"[100, 100]",550,5e-05,2,minmax,0.3,2,AvgPool1d,nearest,3,14396295,15,1
16,0.6653452540303114,0.0022813790431651,0.5537228847473004,3,"[100, 100]",750,1e-05,1,minmax,0.3,2,AvgPool1d,nearest,3,27253384,16,1
17,0.5482388726874495,0.0015483659919111,0.4373332193135657,15,"[512, 512]",550,1e-05,1,minmax,0.2,2,MaxPool1d,linear,2,6223432,17,1
18,0.6526301385143631,0.0021894942751127,0.5440077895849087,10,"[512, 512]",50,1e-05,1,minmax,0.4,2,AvgPool1d,nearest,2,62236856,18,1
19,0.6277948359292606,0.0020004230545198,0.4981195158625617,5,"[712, 712]",50,0.0001,3,standard,0.4,1,AvgPool1d,nearest,3,20086473,19,1
20,0.6005430931351737,0.0018702692146071,0.4994112979715252,21,"[100, 100]",350,5e-05,2,robust,0.2,0,AvgPool1d,nearest,2,15078709,20,1
21,0.6529869325736027,0.0022002941265219,0.545570593568597,42,"[512, 512]",50,1e-05,1,robust,0.3,0,AvgPool1d,nearest,1,41702959,21,1
22,0.6639659743959688,0.0022955815585815,0.5497125219648267,15,"[250, 250]",50,1e-05,1,minmax,0.2,2,MaxPool1d,linear,2,111388601,22,1
